,index,all_backshifts,number_sensors_shifted
938,938,258.6,159.0
939,939,288.6,167.6
940,940,280.0,165.6
941,941,279.2,170.0
942,942,291.6,174.0
943,943,249.2,159.4
944,944,275.4,167.6
945,945,263.6,164.8
946,946,278.8,168.8
947,947,256.4,160.6
948,948,291.0,171.4
949,949,278.4,164.2
950,950,280.4,169.8
951,951,297.8,173.0
952,952,296.2,182.6
953,953,305.0,174.8
954,954,272.8,171.8
955,955,291.4,171.0
956,956,281.0,167.2
957,957,295.4,172.0
958,958,276.6,163.2
959,959,289.4,169.4
960,960,286.0,170.6
961,961,304.0,175.4
962,962,281.4,169.4
963,963,312.2,174.6
964,964,266.8,159.4
965,965,255.2,166.0
966,966,290.8,171.4
967,967,297.6,178.8
968,968,281.6,166.4
969,969,312.4,184.8
970,970,295.6,175.8
971,971,289.8,174.8
972,972,283.0,173.2
973,973,296.8,179.6
974,974,322.4,178.6
975,975,286.2,176.8
976,976,298.2,171.6
977,977,312.0,181.4
978,978,298.4,179.6
979,979,297.8,170.4
980,980,304.2,179.2
981,981,303.0,174.6
982,982,336.0,187.6
983,983,295.6,181.0
984,984,305.4,183.0
985,985,330.4,193.8
986,986,306.2,180.6
987,987,303.8,179.4
988,988,309.8,184.4
989,989,307.8,182.4
990,990,302.4,178.2
991,991,353.6,200.2
992,992,283.0,171.4
993,993,326.4,187.0
994,994,314.0,186.6
995,995,311.2,184.0
996,996,322.2,188.4
997,997,325.8,189.0
998,998,306.2,188.4
999,999,309.8,186.0
1000,1000,322.0,183.8
1001,1001,320.4,185.0
1002,1002,324.4,189.2
1003,1003,332.8,189.2
1004,1004,325.0,186.4
1005,1005,326.2,190.2
1006,1006,321.8,189.8
1007,1007,313.6,193.4
1008,1008,312.6,187.4
1009,1009,328.4,192.6
1010,1010,322.2,188.2
1011,1011,336.0,191.8
1012,1012,328.0,189.4
1013,1013,322.6,184.8
1014,1014,303.4,186.2
1015,1015,315.2,187.0
1016,1016,331.0,197.8
1017,1017,328.8,197.2
1018,1018,330.4,191.4
1019,1019,316.2,189.4
1020,1020,349.6,196.4
1021,1021,321.4,190.2
1022,1022,317.4,192.2
1023,1023,343.6,196.4
1024,1024,328.2,193.4
1025,1025,339.4,197.6
1026,1026,314.6,192.6
1027,1027,332.4,194.0
1028,1028,333.2,193.0
1029,1029,351.0,202.0
1030,1030,340.2,195.2
1031,1031,348.0,201.6
1032,1032,367.0,212.8
1033,1033,361.0,205.0
1034,1034,347.4,201.8
1035,1035,321.4,196.6
1036,1036,334.8,193.8
1037,1037,345.6,195.2
1038,1038,325.0,197.8
1039,1039,345.6,204.4
1040,1040,326.8,197.4
1041,1041,335.8,196.0
1042,1042,346.6,205.6
1043,1043,363.0,215.2
1044,1044,319.2,192.6
1045,1045,377.6,212.0
1046,1046,340.4,194.0
1047,1047,374.4,212.2
1048,1048,358.2,207.0
1049,1049,352.2,204.6
1050,1050,359.8,210.8
1051,1051,347.2,200.4
1052,1052,347.4,202.6
1053,1053,347.0,200.6
1054,1054,332.4,200.4
1055,1055,363.8,207.8
1056,1056,370.4,215.8
1057,1057,361.6,209.6
1058,1058,380.6,221.4
1059,1059,375.0,209.4
1060,1060,381.2,203.8
1061,1061,338.4,202.2
1062,1062,369.2,211.0
1063,1063,354.8,209.4
1064,1064,347.8,204.6
1065,1065,366.4,210.2
1066,1066,371.2,211.2
1067,1067,363.4,211.4
1068,1068,335.4,201.0
1069,1069,366.0,210.8
1070,1070,364.2,215.0
1071,1071,380.4,218.8
1072,1072,374.2,219.0
1073,1073,361.4,216.8
1074,1074,347.4,208.2
1075,1075,368.0,211.4
1076,1076,374.4,215.4
1077,1077,369.4,213.0
1078,1078,386.2,220.4
1079,1079,367.0,217.6
1080,1080,397.4,222.2
1081,1081,377.6,214.2
1082,1082,380.8,221.8
1083,1083,379.2,223.4
1084,1084,378.6,211.0
1085,1085,354.8,220.6
1086,1086,373.2,216.6
1087,1087,377.2,222.8
1088,1088,360.2,212.6
1089,1089,394.0,226.2
1090,1090,384.4,227.8
1091,1091,386.0,218.4
1092,1092,398.4,228.0
1093,1093,399.0,228.2
